2026-08-16T11:30:38Z [extract] HD 2026-03-18__hd-us-20260318-fy-10k__828355.md: 0 facts, 0 rejected
2026-08-16T11:30:40Z [extract] HD 2026-02-24__hd-us-20260224-q4-10k__940544.md: 0 facts, 0 rejected
2026-08-16T11:30:43Z [extract] HD 2026-05-19__hd-us-20260519-q1-8k-2__1038586.md: 8 facts, 1 rejected
2026-08-16T11:30:44Z [extract] HD 2026-05-19__hd-us-20260519-q1-8k__1038584.md: 8 facts, 1 rejected
2026-08-16T11:30:46Z [extract] HD 2026-02-24__hd-us-20260224-q4-8k-2__904387.md: 2 facts, 1 rejected
2026-08-16T11:30:53Z [extract] HD 2026-02-24__hd-us-20260224-q4-8k__615609.md: 14 facts, 1 rejected
2026-08-16T11:30:55Z [extract] HD 2025-11-18__hd-us-20251118-q3-10q__437649.md: 4 facts, 4 rejected
2026-08-16T11:30:56Z [extract] HD 2025-11-18__hd-us-20251118-q3-8k__359994.md: 7 facts, 2 rejected
2026-08-16T11:30:57Z [extract] HD 2026-05-19__hd-us-20260519-q1-10q__1053121.md: 33 facts, 6 rejected
2026-08-16T11:31:06Z [extract] HD 2025-08-25__hd-us-20250825-q2-10q__144029.md: 6 facts, 4 rejected
2026-08-16T11:31:08Z [extract] HD 2025-08-20__hd-us-20250820-q2-8k__143688.md: 8 facts, 5 rejected
2026-08-16T11:31:10Z [extract] HD 2025-08-19__hd-us-20250819-q2-8k__143666.md: 14 facts, 1 rejected
2026-08-16T11:31:12Z [extract] HD 2025-03-20__hd-us-20250320-fy-10k__778723.md: 0 facts, 0 rejected
2026-08-16T11:31:16Z [extract] HD 2025-05-20__hd-us-20250520-q1-10q__101832.md: 4 facts, 0 rejected
2026-08-16T11:31:16Z [extract] HD 2025-05-20__hd-us-20250520-q1-8k__101847.md: 8 facts, 1 rejected
2026-08-16T11:31:22Z [extract] HD 2025-08-19__hd-us-20250819-q2-10q__148871.md: 32 facts, 14 rejected
2026-08-16T11:31:38Z [extract] ADI 2026-05-20__adi-us-20260520-q2-8k-2__1040614.md: 14 facts, 2 rejected
2026-08-16T11:31:40Z [extract] ADI 2026-05-20__adi-us-20260520-q2-8k__1040581.md: 21 facts, 0 rejected
2026-08-16T11:31:41Z [extract] ADI 2026-05-20__adi-us-20260520-q2-10q__1040607.md: 8 facts, 28 rejected
2026-08-16T11:31:43Z [extract] ADI 2025-11-25__adi-us-20251125-q4-10k__361135.md: 0 facts, 0 rejected
2026-08-16T11:31:46Z [extract] ADI 2026-02-18__adi-us-20260218-q1-10q__602087.md: 18 facts, 28 rejected
2026-08-16T11:31:54Z [extract] ADI 2026-02-18__adi-us-20260218-q1-8k-2__602115.md: 13 facts, 8 rejected
2026-08-16T11:31:59Z [extract] ADI 2025-08-21__adi-us-20250821-q3-10q__143765.md: 4 facts, 14 rejected
2026-08-16T11:32:00Z [extract] ADI 2025-11-25__adi-us-20251125-q4-8k__361005.md: 21 facts, 0 rejected
2026-08-16T11:32:06Z [extract] ADI 2025-08-20__adi-us-20250820-q3-10q__143734.md: 8 facts, 28 rejected
2026-08-16T11:32:10Z [extract] ADI 2025-08-20__adi-us-20250820-q3-8k__155976.md: 13 facts, 0 rejected
2026-08-16T11:32:16Z [extract] ADI 2025-05-22__adi-us-20250522-q2-10q__102677.md: 8 facts, 28 rejected
2026-08-16T11:32:17Z [extract] ADI 2025-02-19__adi-us-20250219-q1-8k__102670.md: 8 facts, 2 rejected
2026-08-16T11:32:18Z [extract] ADI 2024-11-26__adi-us-20241126-q4-10k__102663.md: 0 facts, 0 rejected
2026-08-16T11:32:19Z [extract] ADI 2025-05-22__adi-us-20250522-q2-8k__102679.md: 25 facts, 2 rejected
2026-08-16T11:32:22Z [extract] ADI 2025-02-19__adi-us-20250219-q1-10q__102664.md: 12 facts, 14 rejected
2026-08-16T11:32:42Z [extract] ADI 2024-11-26__adi-us-20241126-q4-8k__102666.md: 25 facts, 16 rejected
2026-08-16T11:33:00Z [extract] HAS 2026-04-16__has-ln-20260416-q3-8k-2__955907.md: 8 facts, 26 rejected
