2026-08-16T11:43:31Z [extract] HD 2026-03-18__hd-us-20260318-fy-10k__828355.md: 0 facts, 0 rejected
2026-08-16T11:43:32Z [extract] HD 2026-02-24__hd-us-20260224-q4-10k__940544.md: 0 facts, 0 rejected
2026-08-16T11:43:35Z [extract] HD 2026-05-19__hd-us-20260519-q1-10q__1053121.md: 4 facts, 0 rejected
2026-08-16T11:43:36Z [extract] HD 2026-02-24__hd-us-20260224-q4-8k-2__904387.md: 2 facts, 1 rejected
2026-08-16T11:43:39Z [extract] HD 2026-05-19__hd-us-20260519-q1-8k__1038584.md: 8 facts, 1 rejected
2026-08-16T11:43:39Z [extract] HD 2026-05-19__hd-us-20260519-q1-8k-2__1038586.md: 8 facts, 1 rejected
2026-08-16T11:43:44Z [extract] HD 2026-02-24__hd-us-20260224-q4-8k__615609.md: 14 facts, 1 rejected
2026-08-16T11:43:48Z [extract] HD 2025-11-18__hd-us-20251118-q3-10q__437649.md: 4 facts, 4 rejected
2026-08-16T11:43:51Z [extract] HD 2025-08-25__hd-us-20250825-q2-10q__144029.md: 8 facts, 0 rejected
2026-08-16T11:43:54Z [extract] HD 2025-11-18__hd-us-20251118-q3-8k__359994.md: 8 facts, 1 rejected
2026-08-16T11:43:55Z [extract] HD 2025-08-19__hd-us-20250819-q2-10q__148871.md: 4 facts, 4 rejected
2026-08-16T11:43:57Z [extract] HD 2025-08-20__hd-us-20250820-q2-8k__143688.md: 4 facts, 9 rejected
2026-08-16T11:43:58Z [extract] HD 2025-03-20__hd-us-20250320-fy-10k__778723.md: 0 facts, 0 rejected
2026-08-16T11:44:01Z [extract] HD 2025-08-19__hd-us-20250819-q2-8k__143666.md: 14 facts, 1 rejected
2026-08-16T11:44:01Z [extract] HD 2025-05-20__hd-us-20250520-q1-10q__101832.md: 4 facts, 0 rejected
2026-08-16T11:44:03Z [extract] HD 2025-05-20__hd-us-20250520-q1-8k__101847.md: 7 facts, 1 rejected
2026-08-16T11:44:10Z [extract] ADI 2026-02-18__adi-us-20260218-q1-10q__602087.md: 6 facts, 0 rejected
2026-08-16T11:44:11Z [extract] ADI 2026-05-20__adi-us-20260520-q2-10q__1040607.md: 8 facts, 0 rejected
2026-08-16T11:44:12Z [extract] ADI 2025-11-25__adi-us-20251125-q4-10k__361135.md: 0 facts, 0 rejected
2026-08-16T11:44:22Z [extract] ADI 2026-05-20__adi-us-20260520-q2-8k__1040581.md: 21 facts, 0 rejected
2026-08-16T11:44:22Z [extract] ADI 2026-05-20__adi-us-20260520-q2-8k-2__1040614.md: 20 facts, 0 rejected
2026-08-16T11:44:23Z [extract] ADI 2026-02-18__adi-us-20260218-q1-8k-2__602115.md: 13 facts, 0 rejected
2026-08-16T11:44:30Z [extract] ADI 2025-08-21__adi-us-20250821-q3-10q__143765.md: 4 facts, 4 rejected
2026-08-16T11:44:30Z [extract] ADI 2025-11-25__adi-us-20251125-q4-8k__361005.md: 21 facts, 0 rejected
2026-08-16T11:44:32Z [extract] ADI 2025-08-20__adi-us-20250820-q3-10q__143734.md: 8 facts, 0 rejected
2026-08-16T11:44:37Z [extract] ADI 2025-05-22__adi-us-20250522-q2-10q__102677.md: 8 facts, 0 rejected
2026-08-16T11:44:40Z [extract] ADI 2025-08-20__adi-us-20250820-q3-8k__155976.md: 13 facts, 0 rejected
2026-08-16T11:44:42Z [extract] ADI 2024-11-26__adi-us-20241126-q4-10k__102663.md: 0 facts, 0 rejected
2026-08-16T11:44:44Z [extract] ADI 2025-02-19__adi-us-20250219-q1-10q__102664.md: 16 facts, 0 rejected
2026-08-16T11:44:45Z [extract] ADI 2025-02-19__adi-us-20250219-q1-8k__102670.md: 7 facts, 3 rejected
2026-08-16T11:44:46Z [extract] ADI 2025-05-22__adi-us-20250522-q2-8k__102679.md: 21 facts, 0 rejected
2026-08-16T11:44:59Z [extract] ADI 2024-11-26__adi-us-20241126-q4-8k__102666.md: 21 facts, 0 rejected
2026-08-16T11:45:04Z [extract] HAS 2026-04-16__has-ln-20260416-q3-8k-2__955907.md: 1 facts, 0 rejected
2026-08-16T11:45:04Z [extract] HAS 2026-01-14__has-ln-20260114-q2-8k__401006.md: 1 facts, 1 rejected
2026-08-16T11:45:06Z [extract] HAS 2026-07-10__has-ln-20260710-q4-8k__1572805.md: 1 facts, 1 rejected
2026-08-16T11:45:06Z [extract] HAS 2025-10-10__has-ln-20251010-q1-8k__148167.md: 0 facts, 0 rejected
