2026-08-16T12:01:45Z [extract] HD 2026-03-18__hd-us-20260318-fy-10k__828355.md: 0 facts, 0 rejected
2026-08-16T12:01:45Z [extract] HD 2026-05-19__hd-us-20260519-q1-8k__1038584.md: 9 facts, 0 rejected
2026-08-16T12:01:45Z [extract] HD 2026-05-19__hd-us-20260519-q1-8k-2__1038586.md: 9 facts, 0 rejected
2026-08-16T12:01:45Z [extract] HD 2026-05-19__hd-us-20260519-q1-10q__1053121.md: 4 facts, 0 rejected
2026-08-16T12:01:45Z [extract] HD 2026-02-24__hd-us-20260224-q4-10k__940544.md: 0 facts, 0 rejected
2026-08-16T12:01:45Z [extract] HD 2025-11-18__hd-us-20251118-q3-10q__437649.md: 4 facts, 4 rejected
2026-08-16T12:01:45Z [extract] HD 2026-02-24__hd-us-20260224-q4-8k-2__904387.md: 3 facts, 0 rejected
2026-08-16T12:01:45Z [extract] HD 2026-02-24__hd-us-20260224-q4-8k__615609.md: 15 facts, 0 rejected
2026-08-16T12:01:45Z [extract] HD 2025-11-18__hd-us-20251118-q3-8k__359994.md: 8 facts, 0 rejected
2026-08-16T12:01:45Z [extract] HD 2025-08-20__hd-us-20250820-q2-8k__143688.md: 12 facts, 1 rejected
2026-08-16T12:01:45Z [extract] HD 2025-08-25__hd-us-20250825-q2-10q__144029.md: 8 facts, 0 rejected
2026-08-16T12:01:45Z [extract] HD 2025-08-19__hd-us-20250819-q2-10q__148871.md: 8 facts, 0 rejected
2026-08-16T12:01:45Z [extract] HD 2025-08-19__hd-us-20250819-q2-8k__143666.md: 15 facts, 0 rejected
2026-08-16T12:01:45Z [extract] HD 2025-05-20__hd-us-20250520-q1-8k__101847.md: 8 facts, 0 rejected
2026-08-16T12:01:45Z [extract] HD 2025-03-20__hd-us-20250320-fy-10k__778723.md: 0 facts, 0 rejected
2026-08-16T12:01:45Z [extract] HD 2025-05-20__hd-us-20250520-q1-10q__101832.md: 15 facts, 0 rejected
2026-08-16T12:01:45Z [extract] ADI 2026-02-18__adi-us-20260218-q1-10q__602087.md: 2 facts, 2 rejected
